,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,draft_pick_int,draft_round_int,draft_team_id,position_id,lifetime_profit,seasons_played,mean_season_profit,nind
691,cavanty01,"February 9, 1994","Syracuse, New York",0.6,43.2,35.1,82.6,50,12.4,3.8,2.7,1.2,53.4,George Washington University,,,,,6-9,"Jamesville-Dewitt in Syracuse, New York",Tyler Cavanaugh,Power Forward,Right,238lb,0,0,-1,0,760861,1,760861.0,325
693,cebalce01,"August 2, 1969","Maui, Hawaii",1.2,50.0,30.9,75.3,609,19.3,14.3,5.3,40.4,51.8,"California State University, Fullerton",48th overall,2nd round,Phoenix Suns,1990,6-6,"Dominguez in Compton, California",Cedric Ceballos,Small Forward,Right,190lb,48,2,14,9,20808730,11,1891702.7272727273,326
694,celesjo01,"March 6, 1977","Houston, Texas",1.3,33.3,22.2,83.3,16,2.7,2.3,0.7,-0.1,35.6,Villanova University,30th overall,2nd round,Los Angeles Lakers,1999,6-4,"Piscataway in Piscataway, New Jersey",John Celestand,Point Guard,Right,178lb,30,2,6,3,314671,1,314671.0,327
696,chalmli01,"November 10, 1980","Albany, New York",1.4,33.6,24.5,62.5,36,6.5,3.1,0.9,-0.2,38.4,Xavier University,33rd overall,2nd round,Los Angeles Clippers,2004,6-0,"Albany in Albany, New York",Lionel Chalmers,Point Guard,Right,180lb,33,2,21,3,1180038,2,590019.0,328
697,chalmma01,"May 19, 1986","Anchorage, Alaska",3.7,41.7,35.1,79.3,646,12.7,8.9,2.5,32.3,49.8,University of Kansas,34th overall,2nd round,Minnesota Timberwolves,2008,6-2,"Bartlett in Anchorage, Alaska",Mario Chalmers,Point Guard,Right,190lb,34,2,30,3,25782811,9,2864756.777777778,329
701,chambto01,"June 21, 1959","Ogden, Utah",2.1,46.8,30.7,80.7,1107,16.5,18.1,6.1,79.0,47.6,University of Utah,8th overall,1st round,San Diego Clippers,1981,6-10,"Fairview in Boulder, Colorado",Tom Chambers,Power Forward,Right,220lb,8,1,38,0,15856071,12,1321339.25,330
703,chandty01,"October 2, 1982","Hanford, California",0.8,59.6,0.0,64.5,1134,16.2,8.4,9.2,101.5,59.6,,2nd overall,1st round,Los Angeles Clippers,2001,7-1,"Dominguez in Compton, California",Tyson Chandler,Center and Power Forward,Right,240lb,2,1,21,11,180850996,17,10638293.88235294,331
704,chandwi01,"May 10, 1987","Benton Harbor, Michigan",1.8,44.4,34.3,76.8,641,13.0,12.9,5.3,28.3,50.2,DePaul University,23rd overall,1st round,New York Knicks,2007,6-9,"Benton Harbor in Benton Harbor, Michigan",Wilson Chandler,Shooting Guard and Small Forward and Power Forward,Right,225lb,23,1,11,25,60876050,10,6087605.0,332
707,chapmre01,"October 5, 1967","Bowling Green, Kentucky",2.7,43.0,35.0,80.0,666,13.9,14.6,2.5,24.7,47.7,University of Kentucky,8th overall,1st round,Charlotte Hornets,1988,6-4,"Apollo in Owensboro, Kentucky",Rex Chapman,Shooting Guard and Point Guard,Right,185lb,8,1,55,13,25205746,13,1938903.5384615385,333
713,cheanca01,"July 17, 1971","Evansville, Indiana",1.7,46.6,29.8,69.1,825,11.0,9.5,3.2,23.1,48.0,Indiana University,6th overall,1st round,Washington Bullets,1993,6-7,"Harrison in Evansville, Indiana",Calbert Cheaney,Small Forward and Shooting Guard,Left,209lb,6,1,36,16,31303005,13,2407923.4615384615,334
714,cheekma01,"September 8, 1956","Chicago, Illinois",6.7,52.3,25.5,79.3,1101,16.5,11.1,2.8,103.5,52.6,West Texas A&M University,36th overall,2nd round,Philadelphia 76ers,1978,6-1,"Du Sable in Chicago, Illinois",Maurice Cheeks,Point Guard,Right,180lb,36,2,31,3,5571578,7,795939.7142857143,335
716,cherrwi01,"February 8, 1991","Oakland, California",1.0,26.3,22.2,50.0,8,5.8,1.9,0.6,0.0,31.6,University of Montana,,,,,6-0,"McClymonds in Oakland, California",Will Cherry,Point Guard,Right,185lb,0,0,-1,3,26059,1,26059.0,336
717,chievde01,"July 3, 1967","New York, New York",0.7,44.3,24.2,75.5,154,11.8,7.1,2.4,2.7,44.8,University of Missouri,16th overall,1st round,Houston Rockets,1988,6-7,"Holy Cross in Flushing, New York",Derrick Chievous,Small Forward,Right,195lb,16,1,41,9,912091,2,456045.5,337
718,chilcpe01,"September 14, 1968","Sumter, South Carolina",0.8,44.1,38.1,69.6,584,11.9,4.3,3.3,10.6,48.1,University of North Carolina,27th overall,1st round,Sacramento Kings,1991,6-10,"Tuscaloosa Academy in Tuscaloosa, Alabama",Pete Chilcutt,Power Forward,Right,230lb,27,1,4,0,5526023,9,614002.5555555555,338
719,childjo01,"June 20, 1983","Harbor City, California",1.6,52.2,32.9,77.9,391,15.6,9.1,4.7,25.7,54.2,Stanford University,6th overall,1st round,Atlanta Hawks,2004,6-8,"Mayfair in Lakewood, California",Josh Childress,Shooting Guard and Small Forward,Right,210lb,6,1,34,12,40505136,9,4500570.666666667,339
720,childra01,"September 21, 1972","Washington, District of Columbia",1.0,32.8,27.3,80.0,51,5.9,2.4,0.5,-0.2,40.3,Wake Forest University,19th overall,1st round,Detroit Pistons,1995,6-2,"Flint Hill School in Oakton, Virginia",Randolph Childress,Point Guard,Right,188lb,19,1,10,3,3223405,4,805851.25,340
721,childch01,"November 20, 1967","Bakersfield, California",4.9,40.3,34.4,81.6,541,11.2,6.9,2.4,22.9,46.1,Boise State University,,,,,6-3,"Foothill in Bakersfield, California",Chris Childs,Point Guard,Right,195lb,0,0,-1,3,27953454,10,2795345.4,341
725,chrisma01,"July 2, 1997","Sacramento, California",0.8,42.9,29.6,62.8,197,11.4,7.6,4.5,2.3,48.5,University of Washington,8th overall,1st round,Sacramento Kings,2016,6-10,"Pleasant Grove in Elk Grove, California",Marquese Chriss,Power Forward,Right,240lb,8,1,4,0,6270233,2,3135116.5,342
729,chrisdo01,"May 9, 1970","Seattle, Washington",3.6,42.6,35.4,82.1,827,14.6,11.2,4.1,55.7,47.9,Pepperdine University,17th overall,1st round,Seattle SuperSonics,1992,6-6,"Rainier Beach in Seattle, Washington",Doug Christie,Shooting Guard and Small Forward,Right,200lb,17,1,32,12,53778458,15,3585230.533333333,343
730,chrisdi01,"September 15, 1986","Philadelphia, Pennsylvania",0.3,35.5,29.0,75.0,31,11.1,2.3,1.2,0.3,42.7,Temple University,,,,,6-5,"Samuel Fels in Philadelphia, Pennsylvania",Dionte Christmas,Small Forward,Right,205lb,0,0,-1,9,52119,1,52119.0,344
732,chrisse01,"November 1, 1992","Cincinnati, Ohio",2.0,34.5,19.0,54.8,64,5.7,2.9,1.4,0.1,37.2,Xavier University,55th overall,2nd round,Miami Heat,2014,6-3,"Brewster Academy in Wolfeboro, New Hampshire",Semaj Christon,Point Guard,Right,190lb,5,2,18,3,566509,1,566509.0,345
737,clarkca01,"August 10, 1960","Somerville, Tennessee",0.7,40.7,0.0,80.3,93,9.5,2.4,0.9,0.6,40.7,University of Mississippi,91st overall,4th round,Boston Celtics,1983,6-4,"Fayette-Ware in Somerville, Tennessee",Carlos Clark,Shooting Guard,Right,210lb,9,4,19,4,67755,1,67755.0,346
738,clarkea01,"January 17, 1988","Plainfield, New Jersey",0.5,40.3,32.8,66.4,261,10.2,4.4,3.0,2.9,43.9,University of Louisville,14th overall,1st round,Phoenix Suns,2009,6-10,"Rahway in Rahway, New Jersey",Earl Clark,Power Forward and Small Forward,Right,225lb,14,1,14,10,10817508,6,1802918.0,347
740,clarkia01,"March 7, 1991","Memphis, Tennessee",1.2,43.9,34.0,80.4,330,10.3,5.6,1.3,4.4,51.3,Belmont University,,,,,6-3,"Germantown in Germantown, Tennessee",Ian Clark,Shooting Guard,Right,175lb,0,0,-1,4,4431032,4,1107758.0,348
741,clarkke01,"April 16, 1975","Danville, Illinois",0.9,50.0,5.3,64.5,353,15.4,8.2,5.9,18.2,50.0,"University of Nevada, Las Vegas",13th overall,1st round,Orlando Magic,1998,6-11,"Danville in Danville, Illinois",Keon Clark,Power Forward and Center,Left,220lb,13,1,25,1,15830338,6,2638389.6666666665,349
744,clarkjo01,"June 7, 1992","Tampa, Florida",2.7,44.5,33.5,81.5,382,15.3,14.7,3.2,10.5,49.8,"University of Tulsa, University of Missouri",46th overall,2nd round,Washington Wizards,2014,6-5,"Wagner in San Antonio, Texas",Jordan Clarkson,Shooting Guard and Point Guard,Right,194lb,46,2,51,13,26492264,4,6623066.0,350
746,clavevi01,"August 30, 1988","Valencia, Spain",0.7,39.8,29.3,58.5,80,7.5,3.2,2.2,0.2,46.6,,22nd overall,1st round,Portland Trail Blazers,2009,6-9,,Victor Claver,Small Forward,Right,224lb,22,1,0,9,4169564,3,1389854.6666666667,351
749,claxtsp01,"May 8, 1978","Queens, New York",4.3,40.9,19.3,76.2,334,14.5,9.3,2.5,14.2,41.7,Hofstra University,20th overall,1st round,Philadelphia 76ers,2000,5-11,"Christ the King in Middle Village, New York",Speedy Claxton,Point Guard,Right,166lb,20,1,31,3,38617050,10,3861705.0,352
751,cleavma01,"September 7, 1977","Flint, Michigan",1.9,38.9,26.7,72.8,167,8.5,3.6,1.0,-0.8,39.9,Michigan State University,14th overall,1st round,Detroit Pistons,2000,6-2,"Flint Northern in Flint, Michigan",Mateen Cleaves,Point Guard,Right,205lb,14,1,10,3,5299582,5,1059916.4,353
756,closske01,"April 3, 1976","Hartford, Connecticut",0.3,47.1,0.0,60.6,130,14.2,3.9,2.9,1.9,47.1,Central Connecticut State University,,,,,7-3,"Sierra Vista in Baldwin Park, California",Keith Closs,Center,Left,212lb,0,0,-1,2,6504520,4,1626130.0,354
760,cofferi01,"September 2, 1965","Aurora, North Carolina",0.1,37.3,0.0,54.5,52,7.9,1.3,1.5,0.2,37.3,University of Minnesota,,,,,6-6,"Aurora in Aurora, North Carolina",Richard Coffey,Small Forward,Right,212lb,0,0,-1,9,156358,1,156358.0,355
761,cofiefr01,"January 4, 1962","Ypsilanti, Michigan",1.7,39.5,18.8,60.0,50,7.7,3.4,1.0,-0.5,40.3,"University of Oregon, Eastern Michigan University",73rd overall,4th round,New York Knicks,1985,6-3,"Ypsilanti in Ypsilanti, Michigan",Fred Cofield,Point Guard,Right,190lb,7,4,11,3,72967,1,72967.0,356
763,coleno01,"October 13, 1988","Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7.0,2.0,3.0,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,6-2,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,28,1,23,3,8934129,6,1489021.5,357
764,colembe01,"November 14, 1961","Minneapolis, Minnesota",0.6,51.6,0.0,75.9,227,12.3,6.6,4.1,5.0,51.6,"University of Minnesota, University of Maryland",37th overall,2nd round,Chicago Bulls,1984,6-9,"North Community in Minneapolis, Minnesota",Ben Coleman,Power Forward and Center,Right,235lb,37,2,23,1,599374,2,299687.0,358
765,colemde01,"June 21, 1967","Mobile, Alabama",2.5,44.7,29.5,76.9,781,18.0,16.5,9.3,64.3,46.2,Syracuse University,1st overall,1st round,New Jersey Nets,1990,6-10,"Detroit Northern in Detroit, Michigan",Derrick Coleman,Power Forward and Center,Left,230lb,1,1,16,1,95239951,17,5602350.05882353,359
769,colesbi01,"April 22, 1968","Covington, Virginia",3.9,42.5,26.7,81.1,852,12.1,7.8,2.1,27.4,44.7,Virginia Polytechnic Institute and State University,40th overall,2nd round,Sacramento Kings,1990,6-1,"Greenbriar East in Lewisburg, West Virginia",Bimbo Coles,Point Guard,Right,180lb,40,2,4,3,21085483,15,1405698.8666666667,360
770,collija02,"September 8, 1977","Springfield, Ohio",0.3,45.5,35.0,73.8,151,11.7,5.6,2.9,1.9,46.0,"Indiana University, Georgia Institute of Technology",15th overall,1st round,Milwaukee Bucks,2000,7-0,"Catholic Central in Springfield, Ohio",Jason Collier,Center,Left,260lb,15,1,2,2,7286562,5,1457312.4,361
774,collija01,"November 5, 1973","Jacksonville, Florida",0.1,38.2,45.0,57.1,23,15.3,2.6,0.6,0.0,46.4,Florida State University,36th overall,2nd round,Philadelphia 76ers,1997,6-4,"Jackson in Jacksonville, Florida",James Collins,Shooting Guard,Right,196lb,36,2,31,4,252258,1,252258.0,362
775,collija03,"December 2, 1978","Northridge, California",0.8,45.5,0.0,69.9,542,9.4,3.9,2.9,15.7,45.5,Stanford University,53rd overall,2nd round,Utah Jazz,2001,6-11,"Harvard-Westlake School in North Hollywood, California",Jarron Collins,Center,Right,255lb,5,2,28,2,15644383,10,1564438.3,363
776,collija04,"December 2, 1978","Northridge, California",0.9,41.1,20.6,64.7,735,7.0,3.6,3.7,20.1,41.2,Stanford University,18th overall,1st round,Houston Rockets,2001,7-0,"Harvard-Westlake School in North Hollywood, California",Jason Collins,Power Forward and Center,Right,255lb,18,1,41,1,35616973,12,2968081.0833333335,364
778,collijo01,"September 23, 1997","Layton, Utah",1.6,56.6,34.6,74.3,135,20.1,14.6,8.4,11.4,59.2,Wake Forest University,19th overall,1st round,Atlanta Hawks,2017,6-10,"Cardinal Newman in West Palm Beach, Florida",John Collins,Power Forward,Right,235lb,19,1,34,0,2019028,1,2019028.0,365
779,collima01,"August 4, 1984","Philadelphia, Pennsylvania",1.7,38.0,29.9,59.9,189,7.9,3.9,1.8,-1.6,40.5,Temple University,29th overall,1st round,New York Knicks,2006,6-6,"Simon Gratz in Philadelphia, Pennsylvania",Mardy Collins,Shooting Guard and Point Guard and Small Forward,Right,220lb,29,1,11,26,4971894,4,1242973.5,366
780,collish01,"March 18, 1987","Chicago, Illinois",0.4,28.0,20.0,100.0,20,3.6,0.9,0.3,-0.2,32.0,University of Kansas,,,,,5-11,"Crane Technical Preparatory in Chicago, Illinois",Sherron Collins,Point Guard,Right,205lb,0,0,-1,3,493680,1,493680.0,367
781,colliza01,"November 19, 1997","Las Vegas, Nevada",0.9,44.1,32.1,72.0,143,10.9,5.6,3.8,3.6,49.6,Gonzaga University,10th overall,1st round,Sacramento Kings,2017,7-0,"Bishop Gorman in Las Vegas, Nevada",Zach Collins,Center,Right,235lb,10,1,4,2,3186840,1,3186840.0,368
783,collida01,"August 23, 1987","Rancho Cucamonga, California",5.0,47.1,39.4,85.3,708,16.2,12.5,2.7,49.9,51.7,"University of California, Los Angeles",21st overall,1st round,New Orleans Hornets,2009,6-0,"Etiwanda in Rancho Cucamonga, California",Darren Collison,Point Guard,Right,175lb,21,1,22,3,34756598,9,3861844.222222222,369
784,collini01,"October 26, 1980","Orange City, Iowa",1.0,53.4,20.8,72.3,910,13.2,5.9,5.2,44.5,53.6,University of Kansas,12th overall,1st round,Seattle SuperSonics,2003,6-10,"Iowa Falls in Iowa Falls, Iowa",Nick Collison,Power Forward and Center,Right,255lb,12,1,32,1,62879790,15,4191986.0,370
788,coltest01,"July 24, 1962","Phoenix, Arizona",2.8,44.8,28.9,77.8,526,12.9,6.3,2.0,17.3,46.1,New Mexico State University,33rd overall,2nd round,Portland Trail Blazers,1984,6-3,"Union in Phoenix, Arizona",Steve Colter,Point Guard,Right,165lb,33,2,0,3,951180,5,190236.0,371
792,comegda01,"August 17, 1964","Philadelphia, Pennsylvania",0.7,45.7,0.0,68.2,142,10.7,6.0,3.2,1.1,45.7,DePaul University,21st overall,1st round,Atlanta Hawks,1987,6-9,"Roman Catholic in Philadelphia, Pennsylvania",Dallas Comegys,Power Forward,Right,205lb,21,1,34,0,302293,2,151146.5,372
797,conlemi01,"October 11, 1987","Fayetteville, Arkansas",5.7,44.1,37.5,81.9,788,17.7,14.9,3.0,71.4,49.8,Ohio State University,4th overall,1st round,Memphis Grizzlies,2007,6-1,"Lawrence North in Indianapolis, Indiana",Mike Conley,Point Guard,Left,175lb,4,1,17,3,115992248,11,10544749.818181818,373
799,conloma01,"January 19, 1968","Bronx, New York",1.0,49.8,20.0,73.5,379,13.2,6.5,3.5,8.9,50.2,Providence College,,,,,6-10,"Archbishop Stepinac in White Plains, New York",Marty Conlon,Center,Right,224lb,0,0,-1,2,4566803,10,456680.3,374
800,connapa01,"January 6, 1993","Arlington, Massachusetts",1.2,43.9,34.9,79.6,216,11.0,4.6,2.3,6.8,53.3,University of Notre Dame,41st overall,2nd round,Brooklyn Nets,2015,6-4,"St. John's Prep in Danvers, Massachusetts",Pat Connaughton,Shooting Guard,Right,209lb,41,2,29,4,2992819,3,997606.3333333334,375
802,connele01,"September 17, 1959","Memphis, Tennessee",3.9,45.3,20.2,75.3,687,14.1,6.3,2.7,28.6,45.6,Oregon State University,14th overall,1st round,Golden State Warriors,1982,6-4,"Fremont in Oakland, California",Lester Conner,Shooting Guard and Point Guard,Right,180lb,14,1,26,13,3622307,8,452788.375,376
804,conrowi01,"December 8, 1982","Portland, Oregon",1.0,13.6,0.0,12.5,16,-3.1,0.4,0.7,-0.4,13.6,University of Washington,,,,,6-2,"Garfield in Seattle, Washington",Will Conroy,Shooting Guard and Point Guard,Right,195lb,0,0,-1,13,176554,4,44138.5,377
805,cookan01,"March 19, 1967","Los Angeles, California",0.3,43.9,0.0,52.4,116,11.0,3.6,3.7,1.0,43.9,University of Arizona,24th overall,1st round,Phoenix Suns,1989,6-9,"Van Nuys in Van Nuys, California",Anthony Cook,Power Forward,Right,205lb,24,1,14,0,2392286,5,478457.2,378
808,cookbr01,"December 4, 1980","Lincoln, Illinois",0.6,43.9,38.2,78.3,421,13.1,5.5,2.6,10.2,50.2,University of Illinois at Urbana-Champaign,24th overall,1st round,Los Angeles Lakers,2003,6-9,"Lincoln in Lincoln, Illinois",Brian Cook,Power Forward and Center,Right,234lb,24,1,6,1,18346210,9,2038467.7777777778,379
809,cookda02,"April 28, 1987","Dayton, Ohio",0.7,36.9,35.9,81.3,328,9.1,6.4,2.1,4.9,47.6,Ohio State University,21st overall,1st round,Philadelphia 76ers,2007,6-5,"Paul Laurence Dunbar in Dayton, Ohio",Daequan Cook,Small Forward and Shooting Guard,Right,205lb,21,1,31,16,13562495,7,1937499.2857142857,380
810,cookda01,"August 6, 1958","Los Angeles, California",3.7,45.3,19.6,76.4,612,13.8,9.5,2.1,22.9,45.8,University of Portland,70th overall,4th round,Detroit Pistons,1980,6-3,"Crenshaw in Los Angeles, California",Darwin Cook,Point Guard and Shooting Guard,Right,184lb,7,4,10,14,969422,3,323140.6666666667,381
811,cookje01,"October 21, 1956","West Covina, California",1.4,46.2,5.6,71.6,518,10.9,5.3,4.5,17.7,46.2,Idaho State University,49th overall,3rd round,Kansas City Kings,1978,6-10,"Edgewood in West Covina, California",Jeff Cook,Center and Power Forward and Small Forward,Right,215lb,49,3,56,27,487385,3,162461.66666666666,382
813,cookom01,"January 28, 1982","Brooklyn, New York",2.1,33.3,0.0,50.0,22,9.0,1.7,0.6,-0.1,33.3,St. John's University,32nd overall,2nd round,Orlando Magic,2001,6-1,"Christ the King in Middle Village, New York",Omar Cook,Point Guard,Right,190lb,32,2,25,3,304618,1,304618.0,383
820,coopedu01,"June 25, 1969","Benton Harbor, Michigan",2.0,40.2,21.6,72.0,88,7.7,2.3,0.7,-0.5,42.2,University of Southern California,36th overall,2nd round,Los Angeles Lakers,1992,6-1,"Lakewood in Lakewood, California",Duane Cooper,Point Guard,Right,185lb,36,2,6,3,302292,2,151146.0,384
822,coopemi01,"April 15, 1956","Los Angeles, California",4.2,46.9,34.0,83.3,873,12.8,8.9,3.2,52.5,50.2,University of New Mexico,60th overall,3rd round,Los Angeles Lakers,1978,6-5,"Pasadena in Pasadena, California",Michael Cooper,Shooting Guard,Right,170lb,6,3,6,4,1425469,3,475156.3333333333,385
823,coopewa01,"November 16, 1956","Milan, Georgia",0.9,45.7,14.6,73.6,984,13.4,7.9,6.2,36.9,45.7,University of New Orleans,40th overall,2nd round,Golden State Warriors,1978,6-10,"Telfair County in McRae, Georgia",Wayne Cooper,Center and Power Forward,Right,220lb,40,2,26,11,5608062,7,801151.7142857143,386
825,copelch01,"March 17, 1984","Orange, New Jersey",0.6,42.7,36.5,75.2,171,12.4,5.8,1.6,2.9,51.6,University of Colorado,,,,,6-9,"Hermitage in Henrico, Virginia",Chris Copeland,Small Forward and Power Forward,Right,239lb,0,0,-1,6,8035379,4,2008844.75,387
827,copella01,"July 16, 1965","Atlanta, Georgia",0.4,41.8,14.3,81.3,33,8.2,2.7,0.5,-0.4,42.3,Georgia State University,,,,,6-6,"Booker T. Washington in Atlanta, Georgia",Lanard Copeland,Shooting Guard,Right,190lb,0,0,-1,4,135510,1,135510.0,388
828,corbity01,"December 31, 1962","Columbia, South Carolina",1.8,45.6,29.9,79.1,1065,13.1,9.2,4.7,56.5,46.8,DePaul University,35th overall,2nd round,San Antonio Spurs,1985,6-6,"A.C. Flora in Columbia, South Carolina",Tyrone Corbin,Small Forward,Right,210lb,35,2,24,9,12974533,14,926752.3571428572,389
829,corchch01,"March 28, 1968","Coral Gables, Florida",2.2,42.1,26.9,81.6,112,11.7,3.7,1.2,1.6,45.5,North Carolina State University,36th overall,2nd round,Orlando Magic,1991,6-0,"Hialeah-Miami Lakes in Hialeah, Florida",Chris Corchiani,Point Guard,Right,185lb,36,2,25,3,469075,2,234537.5,390
832,corzida01,"April 25, 1956","Arlington Heights, Illinois",1.7,48.4,18.9,74.7,891,13.6,8.5,5.9,37.3,48.5,DePaul University,18th overall,1st round,Washington Bullets,1978,6-11,"John Hersey in Arlington Heights, Illinois",Dave Corzine,Center,Right,250lb,18,1,36,2,4044474,7,577782.0,391
835,cottobr01,"August 11, 1992","Tucson, Arizona",0.8,41.8,30.4,83.3,23,12.0,3.8,0.8,0.1,46.2,Providence College,,,,,6-1,"Palo Verde in Tucson, Arizona",Bryce Cotton,Point Guard,Right,165lb,0,0,-1,3,516487,4,129121.75,392
837,cottoja02,"December 14, 1975","Los Angeles, California",0.0,35.9,0.0,77.8,19,12.3,2.6,0.8,0.0,35.9,"California State University, Long Beach",32nd overall,2nd round,Denver Nuggets,1997,6-5,"Saint John Bosco in Bellflower, California",James Cotton,Shooting Guard,Left,220lb,32,2,3,4,731758,2,365879.0,393
841,courtjo01,"October 17, 1969","Jackson, Mississippi",0.3,43.3,66.7,63.3,96,9.7,2.8,1.5,0.3,43.7,"Mississippi State University, University of Southern Mississippi",,,,,6-8,"Callaway in Jackson, Mississippi",Joe Courtney,Power Forward,Right,235lb,0,0,-1,0,404611,3,134870.33333333334,394
843,couside01,"August 13, 1990","Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,6-11,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,5,1,4,2,82611568,8,10326446.0,395
845,covinro01,"December 14, 1990","Bellwood, Illinois",1.6,40.2,36.0,81.3,326,13.5,12.7,5.5,17.8,51.4,Tennessee State University,,,,,6-9,"Proviso West in Hillside, Illinois",Robert Covington,Small Forward,Right,225lb,0,0,-1,9,20705849,5,4141169.8,396
850,crabbal01,"April 9, 1992","Los Angeles, California",1.2,42.9,39.3,83.5,344,11.1,9.5,2.9,13.8,53.6,University of California,31st overall,2nd round,Cleveland Cavaliers,2013,6-6,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,31,2,35,4,41322241,4,10330560.25,397
852,crawfch01,"May 13, 1975","Kalamazoo, Michigan",0.6,43.7,34.7,82.4,252,12.9,6.6,2.2,6.5,46.2,Marquette University,50th overall,2nd round,Atlanta Hawks,1997,6-9,"Comstock in Kalamazoo, Michigan",Chris Crawford,Power Forward,Right,235lb,5,2,34,0,16982634,8,2122829.25,398
854,crawfja01,"March 20, 1980","Seattle, Washington",3.4,41.0,34.8,86.2,1326,15.1,14.6,2.2,60.6,47.7,University of Michigan,8th overall,1st round,Cleveland Cavaliers,2000,6-5,"Rainier Beach in Seattle, Washington",Jamal Crawford,Shooting Guard and Point Guard,Right,185lb,8,1,35,13,124352343,19,6544860.157894737,399
856,crawfjo02,"October 23, 1988","Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,6-4,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,27,1,16,13,6324147,6,1054024.5,400
861,crispjo01,"July 18, 1979","Pitman, New Jersey",1.2,38.2,38.5,92.3,21,17.1,3.8,0.5,0.4,49.3,Pennsylvania State University,,,,,6-0,"Pitman in Pitman, New Jersey",Joe Crispin,Point Guard,Right,185lb,0,0,-1,3,50769,1,50769.0,401
865,crittja01,"December 31, 1987","Atlanta, Georgia",1.8,44.2,23.1,63.8,113,10.6,5.3,2.4,0.1,45.4,Georgia Institute of Technology,19th overall,1st round,Los Angeles Lakers,2007,6-5,"Southwest Atlanta Christian Academy in Atlanta, Georgia",Javaris Crittenton,Shooting Guard and Point Guard,Right,200lb,19,1,6,13,4320377,3,1440125.6666666667,402
870,croshau01,"May 1, 1975","Los Angeles, California",1.0,40.7,34.0,86.1,659,14.3,6.8,4.0,27.6,46.6,Providence College,12th overall,1st round,Indiana Pacers,1997,6-9,"Crossroads School in Los Angeles, California",Austin Croshere,Power Forward,Right,235lb,12,1,37,0,57833517,13,4448732.076923077,403
875,crottjo01,"July 15, 1969","Orange, New Jersey",2.1,43.1,38.4,83.7,477,12.7,4.0,1.1,12.1,48.1,University of Virginia,,,,,6-1,"Christian Brothers Academy in Lincroft, New Jersey",John Crotty,Point Guard,Left,185lb,0,0,-1,3,5878217,12,489851.4166666667,404
878,crowdco01,"April 13, 1969","Carrollton, Georgia",0.3,36.9,38.2,70.8,58,7.6,2.1,0.8,0.2,42.2,Kentucky Wesleyan College,,,,,6-5,"Carrollton in Carrollton, Georgia",Corey Crowder,Small Forward,Right,214lb,0,0,-1,9,545150,3,181716.66666666666,405
879,crowdja01,"July 6, 1990","Villa Rica, Georgia",1.4,42.3,33.9,77.8,543,13.0,9.5,3.9,28.7,51.1,Marquette University,34th overall,2nd round,Cleveland Cavaliers,2012,6-6,"Villa Rica in Villa Rica, Georgia",Jae Crowder,Small Forward,Right,235lb,34,2,35,9,22293757,6,3715626.1666666665,406
881,cummipa01,"July 11, 1956","Johnstown, Pennsylvania",1.2,49.7,0.0,73.7,683,13.3,9.6,5.6,22.6,49.7,University of Cincinnati,59th overall,3rd round,Milwaukee Bucks,1978,6-9,"Johnstown in Johnstown, Pennsylvania",Pat Cummings,Power Forward and Center,Right,230lb,5,3,2,1,2761814,4,690453.5,407
882,cummite01,"March 15, 1961","Chicago, Illinois",1.9,48.4,29.5,70.6,1183,18.3,16.4,7.3,91.1,48.5,DePaul University,2nd overall,1st round,San Diego Clippers,1982,6-9,"Carver in Chicago, Illinois",Terry Cummings,Power Forward and Small Forward,Right,220lb,2,1,38,10,25032602,15,1668840.1333333333,408
883,cummivo01,"February 29, 1976","Thomson, Georgia",2.7,38.3,32.1,72.6,199,11.8,6.9,1.9,2.2,42.3,University of Pittsburgh,26th overall,1st round,Indiana Pacers,1999,6-3,"Thomson in Thomson, Georgia",Vonteego Cummings,Point Guard,Right,185lb,26,1,37,3,2367894,3,789298.0,409
885,cunnida01,"April 22, 1987","Clinton, Maryland",0.7,46.9,34.5,64.9,715,11.1,5.8,3.7,24.9,49.8,Villanova University,33rd overall,2nd round,Portland Trail Blazers,2009,6-8,"Potomac in Dumfries, Virginia",Dante Cunningham,Power Forward and Small Forward,Right,230lb,33,2,0,10,17303665,9,1922629.4444444445,410
